K,normalized_K,inverse_K,alpha,thetas,weights,seed
14,1.0875194536020274,0.7560372935188074,0.3,"[0, 3, 10]","[1, 1, 1]",56
2,0.15535992194314677,496.0628287400623,0.3,[0],[1],57
86,6.680476643555312,0.001780909429985789,0.3,[3],[1],57
197,15.302952311399958,0.00011239558457947303,0.3,[10],[1],57
202,15.691352116257825,0.00010338688240198098,0.3,"[0, 3, 10]","[1, 1, 1]",57
9,0.6991196487441605,3.2973241205016186,0.3,[0],[1],58
93,7.2242363703563255,0.0013720191586281086,0.3,[3],[1],58
198,15.380632272371532,0.00011051452722307095,0.3,[10],[1],58
75,5.825997072868004,0.002810384833177332,0.3,"[0, 3, 10]","[1, 1, 1]",58
22,1.7089591413746146,0.16758214113063669,0.3,[0],[1],59
86,6.680476643555312,0.001780909429985789,0.3,[3],[1],59
195,15.147592389456811,0.00011628435807901239,0.3,[10],[1],59
32,2.4857587510903483,0.048062173839373494,0.3,"[0, 3, 10]","[1, 1, 1]",59
43,3.340238321777656,0.017950442230363003,0.3,[0],[1],60
93,7.2242363703563255,0.0013720191586281086,0.3,[3],[1],60
173,13.438633248082196,0.00017330708886589412,0.3,[10],[1],60
92,7.146556409384752,0.0014223634369061493,0.3,"[0, 3, 10]","[1, 1, 1]",60
37,2.8741585559482155,0.029623128612181075,0.3,[0],[1],61
98,7.612636175214192,0.0011522580529628008,0.3,[3],[1],61
177,13.74935309196849,0.00016059269382258178,0.3,[10],[1],61
194,15.069912428485237,0.00011829441418550569,0.3,"[0, 3, 10]","[1, 1, 1]",61
2,0.15535992194314677,496.0628287400623,0.3,[0],[1],62
76,5.903677033839577,0.002689003474612981,0.3,[3],[1],62
215,16.70119160888828,8.397985838455478e-05,0.3,[10],[1],62
63,4.893837541209123,0.005025371504351538,0.3,"[0, 3, 10]","[1, 1, 1]",62
26,2.0196789852609083,0.09602673833340399,0.3,[0],[1],63
97,7.5349562142426185,0.0011923329801384107,0.3,[3],[1],63
216,16.778871569859852,8.269085843960093e-05,0.3,[10],[1],63
34,2.6411186730334952,0.03926813549502645,0.3,"[0, 3, 10]","[1, 1, 1]",63
11,0.8544795706873073,1.689122137575541,0.3,[0],[1],64
77,5.981356994811151,0.002574349972076794,0.3,[3],[1],64
187,14.526152701684223,0.00013371023411375455,0.3,[10],[1],64
9,0.6991196487441605,3.2973241205016186,0.3,"[0, 3, 10]","[1, 1, 1]",64
10,0.7767996097157339,2.3207944168063888,0.3,[0],[1],65
107,8.311755823958352,0.0008597207562688625,0.3,[3],[1],65
249,19.342310281921772,5.148003664194428e-05,0.3,[10],[1],65
239,18.56551067220604,5.901698258681776e-05,0.3,"[0, 3, 10]","[1, 1, 1]",65
3,0.23303988291472016,128.40023599085825,0.3,[0],[1],66
59,4.58311769732283,0.006253598078823452,0.3,[3],[1],66
207,16.07975192111569,9.529472317884671e-05,0.3,[10],[1],66
